id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
apt-0030,Alfred Diver,Alfred,Diver,cricketer,sports,Cambridgeshire,England,1827,1876,wordplay,3,Ducky,"Known as Ducky Diver, his nickname matched his surname for a Victorian professional.",,professional_name,https://www.espncricinfo.com/cricketers/ducky-diver-12183,,,Birth name Alfred John Day Diver; 84 first-class matches.,verified
apt-0078,Arianna Huffington,Arianna,Huffington,media executive and author,media,HuffPost,United States,1950,,wordplay,3,Huffington,"Huffington built HuffPost, making her surname synonymous with online news.",,professional_name,https://en.wikipedia.org/wiki/Arianna_Huffington,,,Born Ariadni-Anna Stasinopoulou. Audit: Huffington built HuffPost makes surname synonymous with news is corporate wordplay not aptronym. Wikipedia gives the birth name as Ariadnē-Anna Stasinopoúlou.,rejected
apt-0088,Avicenna,Avicenna,Avicenna,physician and philosopher,medicine,,Iran,980,1037,other,2,Avicenna,Avicenna is a Latinized honorific rather than a descriptive cognomen for the Canon of Medicine author.,,pseudonym,https://en.wikipedia.org/wiki/Avicenna,,,Birth name Ibn Sina; aptronym reading is weak.,borderline
apt-0134,Bono,Bono,,singer-songwriter,arts,U2,Ireland,1960,,translation,2,Bono,"Bono is derived from Bono Vox, good voice in Latin, fitting a rock singer.",Latin: good,professional_name,https://en.wikipedia.org/wiki/Bono,https://en.wiktionary.org/wiki/bonus,,"Birth name Paul David Hewson. Audit: Bono from Bono Vox good voice is chosen stage name from Latin, not birth-name coincidence.",verified
apt-0158,C. Sharpe Minor,C.,Sharpe Minor,silent-film organist,arts,,United States,1885,,wordplay,5,Sharpe Minor,Sharpe Minor puns on the musical key C-sharp minor for a theatre organist.,Music: C-sharp minor,professional_name,https://catalog.afi.com/Person/25676-C.-Sharpe-Minor,,https://ladailymirror.com/2017/10/30/mary-mallory-hollywood-heights-organist-c-sharp-minor-major-talent-2/,Birth name Charles Sulzer Sharpe Minor; adopted marquee spelling.,verified
apt-0172,Catfish Hunter,Jim,Hunter,MLB pitcher,sports,Oakland Athletics,United States,1946,1999,semantic,3,Catfish,"His nickname Catfish evoked a slippery, hard-to-handle pitcher.",,professional_name,https://www.baseball-reference.com/players/h/hunteca01.shtml,,,"Birth name James Augustus Hunter. Audit: Catfish was invented for him by Charlie Finley as publicity, complete with a fabricated backstory. The row's claim that it evoked a slippery, hard-to-handle pitcher is reasoning applied after the fact.",rejected
apt-0198,Chip Reese,Chip,Reese,poker player,sports,,United States,1951,2007,semantic,4,Chip,"Chip is his nickname and a poker betting token, apt for a poker legend.",,professional_name,https://en.wikipedia.org/wiki/Chip_Reese,,,Birth name David Edward Reese.,verified
apt-0207,Christian Pain Edwards,Christian,Edwards,mixed martial artist,sports,,United States,1998,,semantic,4,Pain,"Pain is his fight nickname, apt for a Jackson-Wink MMA light heavyweight.",,professional_name,https://www.sherdog.com/fighter/Christian-Edwards-270755,,,"Audit: Pain is a chosen fight name. A fighter who picks a menacing ring name is marketing, not nominative determinism.",rejected
apt-0232,Cool Papa Bell,James,Bell,Negro leagues outfielder,sports,St. Louis Stars,United States,1903,1991,semantic,3,Cool,His nickname Cool Papa matched his calm demeanor and legendary speed.,,professional_name,https://en.wikipedia.org/wiki/Cool_Papa_Bell,,,"James Thomas Bell, Negro leagues centre fielder 1922-46, elected to the Baseball Hall of Fame in 1974 and widely held to be the fastest man to play the game. Audit: The Baseball Reference slug was wrong and returned 404. Replaced with Wikipedia, but the row fails on causation: Cool Papa was a nickname awarded for the demeanour and speed it describes, so the name did not happen to fit the man.",rejected
apt-0244,Cy Young,Denton,Young,MLB pitcher,sports,Boston Americans,United States,1867,1955,semantic,3,Cy,His nickname Cy short for cyclone described his overpowering fastball.,,professional_name,https://www.baseball-reference.com/players/y/youngcy01.shtml,,,"Birth name Denton True Young. Audit: Cy is short for Cyclone, a nickname awarded after a tryout in which his fastball wrecked a wooden fence. The name was given because of the pitching, so it did not coincidentally fit it.",rejected
